Id,Raza,PesoMinimo,PesoMaximo,AlturaDeLosHombrosMinimo,AlturaDeLosHombrosMaximo,CircunferenciaDelCuelloMinimo,CircunferenciaDelCuelloMaximo,LongitudDeLaEspaldaMinimo,LongitudDeLaEspaldaMaximo,CircunferenciaToracicaMinima,CircunferenciaToracicaMaximo
1,Afghanhound,23,27,63,74,40,52,60,65,75,85
2,AiredaleTerrier,20,25,56,61,48,55,48,55,85,95
3,AmericanStaffordshireTerrier,15,17,43,48,50,60,40,45,50,55
4,AustralianShepherd,16,32,46,58,37,47,50,60,70,75
5,Borzoi,25,47,68,85,45,55,67,84,85,95
6,Basset,18,30,28,38,42,50,60,75,60,65
7,Beagle,10,18,33,41,40,45,42,48,45,50
8,BeardedCollie,20,28,51,56,42,48,50,55,60,65
9,BergerdeBrie(Briard),20,30,56,68,45,55,65,75,75,85
10,BerneseMountainDog-ca,40,40,60,72,50,55,65,75,95,105
11,SaintBernard,70,85,70,80,50,70,65,80,105,115
12,Bobtail,30,35,55,65,50,55,55,70,35,155
13,BorderCollie,12,20,46,56,60,65,48,52,75,85
14,Boxer,25,30,53,63,45,55,50,60,85,95
15,Bullterrier,20,30,40,55,50,55,55,65,60,65
16,CairnTerrier,6,7.5,26,31,37,42,40,42,40,45
17,Chihuahua,1,3,22,22,25,32,20,30,30,35
18,Chow-Chow,21,27,45,50,50,65,45,50,75,85
19,Cockerspaniel,13,14.5,38,41,40,45,42,47,50,55
20,Collie,18,30,51,61,40,45,50,60,75,85
21,Dachshundbis,9,9,18,23,30,40,30,45,40,45
22,Dalmatian,23,33,50,64,40,50,65,75,65,85
23,Germanlonghair,30,30,63,70,40,50,65,75,70,90
24,GreatDane,60,75,72,80,60,75,60,80,95,105
25,Germanhuntingterrier,7.5,10,33,40,40,45,45,48,45,50
26,Germanshepherddog,32,38,55,65,50,70,65,75,95,105
27,Dobermanpinscher,30,42,63,70,45,55,60,70,85,95
28,Foxterrier,6.5,9,36,38,40,45,38,45,50,55
29,Frenchbulldog,8,14,24,35,30,40,30,45,50,60
30,GoldenRetriever,27,37,51,61,45,53,55,65,85,95
31,Greyhound,34,45,65,82,45,55,60,84,75,85
32,Havanese,4,7,21,29,20,25,20,25,30,40
33,Hovawart,25,40,58,70,48,60,65,75,95,105
34,IrishRedSetter,25,30,61,68,40,45,65,75,75,85
35,IrishWolfhound,40.5,54,71,85,55,65,40,85,105,115
36,JackRussellTerrier,5,8,25,38,25,35,30,40,45,50
37,Smallandmediumpoodle,15,15,35,45,32,40,30,35,35,45
38,GermanSpitzKlein,18,26,23,28,35,40,30,35,45,50
39,LabradorRetriever,28,35,54,57,50,55,55,60,85,95
40,Leonberger,50,70,65,80,55,65,70,85,105,115
41,LhasaApso,5,7,24,28,34,45,35,42,35,155
42,Maltese,3,4,20,25,30,35,30,38,35,40
43,Mastiff,75,100,80,80,65,80,70,85,95,105
44,Pug,6,9,25,30,36,44,28,35,50,60
45,SmallMünsterländer,20,25,50,60,45,50,45,55,50,55
46,LargeMünsterländer,25,29,58,65,45,55,55,65,55,65
47,Newfoundland,50,65,62,75,55,65,65,75,105,115
48,ParsonRusselTerrier,6,8,30,40,28,35,27,31,40,50
49,Pekinese,3.5,6,15,25,30,35,35,40,40,45
50,Small&medium-sizedpoodle,15,15,35,45,32,40,30,35,35,155
51,RhodesianRidgeback,29,50,60,70,47,67,55,70,95,105
52,Rottweiler,40,60,55,68,55,70,67,82,95,105
53,StandardSchnauzers,15,17,45,50,40,45,45,50,65,70
54,ScottishTerrier,8.5,10.5,25,28,35,45,40,45,65,70
55,ShetlandSheepdog,7,8,30.5,37,40,45,42,48,35,155
56,ShihTzu,5,8,25,27,30,42,25,45,40,45
57,SiberianHusky,20,24,51,60,45,50,60,70,85,95
58,Sheltie(ShetlandSheepdog),6,12,33,41,40,45,42,48,50,55
59,StaffordshireBullterrier,11,17,30,40,45,60,42,48,42,50
60,WestHighlandWhiteTerrier,7,9,28,28,30,40,29,42,50,55
61,Whippet,10,15,44.5,47,40,45,40,45,55,60
62,Keeshond,18,28,45,55,45,55,45,50,75,85
63,YorkshireTerrier,1.5,3,22,22,25,30,25,30,35,40
64,MiniaturePinscher,5,8,28,35,25,33,32,40,38,48
65,Toypoodle,4,6,28,35,25,35,32,38,30,50
66,MiniatureSchnauzer,5,8,30,35,30,35,32,38,40,45
67,Pomeranian,3,3,22,26,25,35,32,38,40,45
